,DefaultedAdvances,AdvanceAmount,CurrentBalance,LatefeesTotalCount,CreditAccounts,LastRepaymentAmount,OverdraftCount,OverdraftTotal,AverageMonthlySpend,BalanceAverage,BalanceMin,TotalAssets,AverageNumberOfTransactionsADay,TotalCash,LatefeesCount,Paycheck,TotalHistoryInDays,AverageMonthlyIncome,AverageMonthlyDiscretionarySpend,CheckingAccountCount,CreditAccountCount,SavingsAccountCount,OutstandingCreditDebtWherePayingInterest,AverageNumberOfTransactionsADayPrimaryChecking,NegativeBalanceCount,NumberOfMatches,ErrorRate,IsNameBased,BalanceAbove100L30Count,AveragePotentialMonthlyIncome,HasEmpowerBanking,bal_vol_index,dep_wd_ratio,od_per_30d,CurrentBalance_missing,PaycheckModelUsed_missing,NumberOfMatches_missing,ErrorRate_missing,IsNameBased_missing,bal_vol_index_missing,PaycheckModel_BruteForce,PaycheckModel_DeepSearch,PaycheckModel_Tagging,PaycheckModel_VariableIncomeInMonth
14,0,50,0.0,0,0,0.0,0,10,-12965.47453,932.06,15.92,945.49,3.707317073,945.49,0,4223.98,1478.11513,12071.38497,-637.1266667,1,0,0,0.0,3.707317073,0,5.0,0.0,1.0,0,2575.493333,1,0.017080445464884235,-1.0740668582952169,0.0,1,0,0,0,0,0,1,0,0,0
15,0,50,3.85,0,0,0.0,0,0,-4061.364526,613.59,-37.97,4.25,2.403819918,4.25,0,3815.11,734.9737167,3569.292755,-849.1133333,1,0,1,0.0,2.311050477,5,3.0,1.0,0.0,0,1874.076667,1,-0.06188171254420704,-1.137862541622759,0.0,0,0,0,0,0,0,1,0,0,0
16,0,50,0.44,0,1,0.0,1,10,-4295.690682,251.73,-21.04,0.44,3.523809524,0.44,0,2743.08,588.7209196,4047.582601,-1837.703333,1,1,0,0.0,3.496598639,1,3.0,0.0,0.0,18,4735.93,1,-0.0835816152226592,-1.0612978425538993,0.05095793100130224,0,0,0,0,0,0,1,0,0,0
17,0,50,174.55,1,1,100.0,0,38,-12718.10314,1896.47,180.03,184.16,4.879456706,184.16,0,4309.991111,2358.096189,11484.69635,-2329.74,1,1,1,513.61,4.81663837,0,5.0,0.0,1.0,30,12964.22,0,0.09492899966780387,-1.1073956813842971,0.0,0,0,0,0,0,0,1,0,0,0
18,0,50,182.87,0,0,0.0,0,0,-1391.620961,432.22,-488.82,2012.22,2.287531807,1268.29,0,1262.899444,1970.869817,1767.377786,-601.6366667,3,0,3,0.0,1.104545455,30,5.0,0.0,1.0,9,1457.286667,1,-1.13095183008653,-0.7873930361824747,0.0,0,0,0,0,0,0,1,0,0,0
19,0,50,0.0,0,0,0.0,0,0,-1652.420513,191.49,-44.65,-43.88,3.483561644,-43.88,0,1599.7475,730.6101149,1446.048665,-1136.21,1,0,1,0.0,2.708219178,17,11.0,0.0,0.0,13,2886.233333,0,-0.23317144498407225,-1.142714317294432,0.0,1,0,0,0,0,0,1,0,0,0
20,0,50,244.61,0,0,0.0,5,5,-1382.509539,6.47,-620.72,4.14,1.506329114,4.14,0,1756.293333,83.87621061,1347.598718,-46.25666667,2,0,0,0.0,1.506329114,24,3.0,0.0,0.0,0,389.0333333,1,-95.93817619783617,-1.0259059470253964,1.7883497467172953,0,0,0,0,0,0,1,0,0,0
21,0,50,919.61,0,0,0.0,1,1,-5221.490909,501.79,2.56,919.61,4.659090909,919.61,0,3526.93,90.12887627,4730.14768,-1402.09,1,0,0,0.0,4.659090909,0,5.0,0.0,1.0,0,1480.576667,0,0.0051017357858865265,-1.1038748179211182,0.3328566963392364,0,0,0,0,0,0,1,0,0,0
22,0,50,179.22,0,0,0.0,2,21,-18315.68568,1477.96,-82.97,731.28,6.0625,731.28,0,1508.548889,594.7553187,18546.28193,-2215.643333,1,0,2,0.0,5.613175676,1,5.0,0.0,1.0,25,19951.64667,0,-0.05613819047876803,-0.9875664431895109,0.10088182167272816,0,0,0,0,0,0,1,0,0,0
23,0,50,174.12,0,0,0.0,3,6,-6151.973611,1418.34,112.96,199.15,3.744493392,199.15,0,2503.576111,183.7513777,4633.545026,-1818.2,1,0,1,0.0,4.637362637,0,3.0,0.0,0.0,30,8052.506667,0,0.07964239886063991,-1.3277034271771855,0.4897922460583543,0,0,0,0,0,0,1,0,0,0
